OID_,CBG,PlusCode,DestinationID,Total_TravelTime,Total_Kilometers
322,470930008002,"23M9+39 Knoxville, Tennessee",134,15.55612886,16.25105952
323,470930008002,"WWGP+FW Knoxville, Tennessee",108,15.56749843,19.31666529
324,470930008002,"2X5G+FG Knoxville, Tennessee",99,15.66984005,16.69857317
325,470930008002,"2X3G+JQ Knoxville, Tennessee",98,16.12228215,16.9442487
326,470930008002,"WXF2+93 Knoxville, Tennessee",23,16.13130902,18.64840249
327,470930008002,"WXC2+HQ Knoxville, Tennessee",68,16.150168,18.73864724
328,470930008002,"WWFR+HR Knoxville, Tennessee",62,16.18775225,19.34438914
329,470930008002,"WXC2+W7 Knoxville, Tennessee",57,16.23876102,18.81278909
330,470930008002,"WXF9+C4 Knoxville, Tennessee",27,16.66533426,18.8689997
331,470930008002,"WWFP+5F Knoxville, Tennessee",24,16.74040622,20.13251854
332,470930008002,"WWC7+P3 Knoxville, Tennessee",59,16.8459878,21.62141307
333,470930008002,"WWCW+PW Knoxville, Tennessee",69,17.35928451,19.03080737
334,470930008002,"WW8F+RV Knoxville, Tennessee",56,17.89241263,21.13481969
